tweet_id,sentiment,content,Detected Emotion
1956979150,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,no emotion detected
1956979917,empty,@djmicdamn hey yu lil fucker i textd yu,no emotion detected
1957000788,worry,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,no emotion detected
1957006098,worry,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,no emotion detected
1957014653,neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!,no emotion detected
1957017486,neutral,@ poll : was trying to get it to work in a powerpoint to no avail.,no emotion detected
1957019121,neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",no emotion detected
1957027630,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,no emotion detected
1957029899,neutral,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,no emotion detected
1957033558,worry,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,no emotion detected
1957038324,sadness,my teeth and head hurts,no emotion detected
1957044935,hate,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,no emotion detected
1957045940,worry,@SharonHayes Thank you for the rec but that doesn't work,no emotion detected
1957056027,sadness,@judyrey  The link doesn't work,no emotion detected
1957059348,sadness,my stupid tooooth hurts,no emotion detected
1957065963,neutral,@nayRyelgiuQ airport? and you didnt show up tonight homo!,no emotion detected
1957068880,sadness,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,no emotion detected
1957073984,worry,"Ugh, my internet was down!",no emotion detected
1957074812,neutral,@rockingjude The link doesn't work,no emotion detected
1957077528,neutral,"@taylor_d No, it's not...",no emotion detected
1957083641,anger,fuckin'm transtelecom,no emotion detected
1957087780,worry,@pb_and_jay hi!  Fuck your job!,no emotion detected
1957094989,hate,my sister is a douchebag,no emotion detected
1957098732,worry,"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",no emotion detected
1957104001,worry,@RDeRozario woops! I only just realized my DMs to you are not going through,no emotion detected
1957114162,worry,"@bigyahu no I was trying to interview Dr Paul Twomey, CEO of ICANN. Phone issues cut the interview from 30 mins to 15.",no emotion detected
1957115742,neutral,Still confuse...,no emotion detected
1957118612,sadness,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun,no emotion detected
1957119180,neutral,@Joshuah_Pearson,no emotion detected
1957119815,neutral,@ccburns Unfortunately not,no emotion detected
1957125620,sadness,@Dakshinamurti Not yet... sorry,no emotion detected
1957125747,worry,All I want to do is sit back &amp; relax for a little while. How can that be this difficult?!,no emotion detected
1957128989,surprise,Math quiz: If Meow =  but Allergies =   then Meow + Allergies = ?,no emotion detected
1957133923,sadness,"I can't sleep, this is so darn frustrating.",no emotion detected
1957137805,neutral,playing the game of watching straight people hook up but can't leave because of another reason,no emotion detected
1957154062,worry,"@mayora not this part, unfortunately.",no emotion detected
1957154821,hate,i just murdered two fucking mouses!!! now i cant sleep,no emotion detected
1957168222,neutral,mannnn..... @alllyy_ got an iphone!!! im jealous....  http://bit.ly/NgnaR,no emotion detected
1957180100,worry,My tongue still hurts.  I need to sleep!!!,no emotion detected
1957182104,worry,"its from all that anal sex, i forgot the lube. damn  may need to go to the E.R.",no emotion detected
1957192397,sadness,"@rscheuer sorry, is only in spanish for the moment",no emotion detected
1957192967,neutral,I signed up for an account on a political website so I could post a comment but it isn't working.,no emotion detected
1957195514,neutral,@3Gguy and within a short time of the last clue all of them,no emotion detected
1957198359,hate,"@StonedSteve yes it was good 2 see them laught at each other,,but that poor lad asking his mum &amp; dad 2 kill him",no emotion detected
1957205912,neutral,"facebook quizzes are one cure of boredom haha, my teeth/mouth hurts",no emotion detected
1957208962,boredom,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out,no emotion detected
1957208989,worry,@HoptonHouseBnB now theres a thought .... do you still get goldfish at the fair ?? not seen them for years,no emotion detected
1957211180,worry,I dont get twitter  Someone help me!,no emotion detected
1957216783,fun,i wish i was at @angelcore's burning trees and trying on dresses...,no emotion detected
1957217758,boredom,Tweeting from the tarmac at Cork Airport. Delayed,no emotion detected
1957230653,worry,@andyclemmensen you didnt send me the text,no emotion detected
1957231863,neutral,I don't remember what i text to twitter to get a list of commands  halp,no emotion detected
