"paragrapg_id","content","sentiment"
"1","The rain poured relentlessly, drumming against the windows as the once bustling streets turned desolate. She sat by the window, staring out at the grey world, her heart heavy with memories of what used to be. The silence in the house was deafening, punctuated only by the occasional creak of old wood.","sadness"
"2","The crowd erupted into cheers as the final seconds of the game ticked away.. Their team had done the impossible, securing victory against all odds. People were hugging strangers, laughing, and dancing in sheer joy. The energy in the stadium was infectious, a celebration for the ages.","enthusiasm"
"3","He walked through the familiar park, his mind wandering aimlessly. The chirping of birds and rustling of leaves were soothing but evoked no particular response. Everything felt the same, neither joyful nor upsetting, just... there.","neutral"
"4","The deadline was looming closer, and the pile of work on her desk didn’t seem to shrink. She tapped her pen anxiously, glancing at the clock every few minutes. Thoughts of failure raced through her mind as she struggled to focus.","worry"
"5","As she opened the gift box, her eyes widened in disbelief. Inside was the pendant she had always wanted but never expected to receive. Her face lit up with pure, uncontainable delight as she hugged the giver tightly.","surprise"
"6","They sat together on the bench, their hands entwined under the soft glow of the sunset. Words were unnecessary; the warmth in their hearts and the quiet understanding between them said it all. It was a moment of pure connection and affection.","love"
"7","Laughter echoed through the room as jokes and stories were exchanged. The group couldn’t stop chuckling at the hilarious mishaps that had happened on their trip. It was a moment of unfiltered joy and shared camaraderie.","fun"
"8","Her voice rose sharply, each word laced with venom. Years of resentment and misunderstandings had boiled over into a fiery argument. She clenched her fists, her face flushed with frustration and anger.","anger"
"9","After weeks of waiting, the email finally arrived. With trembling hands, he opened it, and relief washed over him as he read the first line: 'Congratulations, you’ve been accepted!' All the tension and worry disappeared in an instant.","relief"
"10","The movie dragged on, with scenes that seemed to repeat themselves endlessly. He glanced at his watch for the tenth time, stifling a yawn. The lack of excitement left him longing for something, anything, to break the monotony.","boredom"
"11","The old photograph lay on the table, edges worn and colors faded. It was the only thing left of the happy days she once knew. Tears welled up in her eyes as she traced the faces in the image, longing for what was lost.","sadness"
"12","He wandered through the empty house, the echoes of laughter now replaced with deafening silence. Every corner held a memory, a reminder of the family that was no longer there.","sadness"
"13","The sound of the final goodbye still echoed in his mind as he sat by the window, staring blankly at the rain. He couldn’t shake the ache in his chest that seemed to grow heavier with each passing minute.","sadness"
"14","Her childhood home was now a pile of rubble, torn down to make room for something new. She stood in the vacant lot, holding onto memories that felt like they were slipping away.","sadness"
"15","The melody from the piano was soft and haunting, each note bringing back a flood of memories. She closed her eyes, letting the music transport her to a time when things were simpler and happiness felt within reach.","sadness"
"16","The letter she found in the attic was filled with words of regret and sorrow. It was too late to respond, too late to make amends. She held it tightly, wishing for a chance to turn back time.","sadness"
"17","The playground was empty now, the laughter of children replaced by an eerie stillness. She sat on the swing, remembering the days when life felt full of joy and possibility.","sadness"
"18","The wilted flowers on the table were a stark reminder of how fleeting everything seemed. She stared at them, feeling the weight of time and the loss of someone who used to brighten her world.","sadness"
"19","The farewell party was supposed to be a celebration, but all she could feel was an overwhelming sense of loss. Each hug goodbye was like another piece of her heart being taken away.","sadness"
