tweet_id,content,sentiment,Detected Emotion
1752414968,Good Morning,neutral,happiness
1965295852,"I just put my computer up on craigslist. I've had the same case, monitor, and speakers for over 5 years.",empty,neutral
1696219218,in ten minutes shopping   demi lovato-back around demi lovato-behind enemy lines have you all seen the titanic 2 trailer? its really good!,love,neutral
1961416554,From twitterberry moved to ubertwitter - suffered from BB cache errors,neutral,worry
1695580473,@thriftymom TEAR*,sadness,neutral
1753331093,Ps... I got Ben Button today... completes my Best Picture noms....got all 5 now. It was a GREAT year!!,happiness,happiness
1963544918,"Just fell asleep for 2 &amp; 1/2 hours so missed both chances for first-look Hollyoaks, ugh",worry,worry
1751287108,"@VanetaRogers Thank ye, Vaneta.  Much appreciated",happiness,love
1966120040,@donttreeriddle Oh noes!! Melted ice cream = do not want.,sadness,neutral
1751819700,@orphanth i just had pasta  from pizzahut.,relief,neutral
1694384691,"@Snowgirl1972 have to avoid the burning desire to say I already have one  no, no room for piglets, just enough room for chucks",sadness,worry
1964205890,"@Antonisha man those people are hard to reach, I've been stalking H.R.",neutral,worry
1960627024,@deegospel Hey Dee... I wish I could make it to the mastermind session tomorrow  I'm in a wedding in Statesboro. hope to chat soon.,sadness,neutral
1962428802,@PinkBerryGirl Aniya666 yours wasn't there,worry,neutral
1753009480,laundry and loud music.... relaxing,relief,empty
1958064166,So sick &gt;.&lt; feeling shitty whole body aching!! Hope I get well before boo boo's grad show   sighs.........,worry,worry
1965335930,can't upload a picture. I already hate twitter,hate,hate
1966268372,@HeatherShorter wish I had something to toast with .... but all i have is a glass of water,neutral,worry
1695344074,5-4-09 what do you think ill be doing tonight,worry,worry
1753272443,One more thing &quot;Shattered&quot; is an amazing song by O.A.R.,love,happiness
1965653664,@haemoglobin_ Why?,empty,neutral
1963057566,"@GlamourFrog I so need a tweet editor. Yes, I meant it",neutral,worry
1751750472,"@15minsofmetal sweet, I'm trying to earn my crown for gluten free baking!",worry,neutral
1752871920,@Britneyspears : For the Record is still the saddest thing to watch. &quot;I'm gonna go through life like the karate kid&quot;...and so am I.,sadness,worry
1963703940,just because you're a superstar it doesn't mean you have to do that !,worry,worry
1753156720,@jason_2008 thanks  there's a men's version in June. It's very popular.,surprise,neutral
1752774829,"...and Sykes will lose a few gigs while gaining some better ones. Frankly, the best thing the rightards can do is scream about this.",neutral,worry
1694201803,"@endsiny No worries doll, its what Im here for! I luvs you! Tomorrow is a brand new day!  *Hugs*",worry,worry
1695312209,@flyingnutcase That just means you were not trying hard enought,neutral,worry
1696135368,ahhh bank holiday slept late now going to dinner in my sisters whos a real &quot;monica&quot;  hahah and im late il get cold dinner now,worry,worry
1753452561,All ready for work... except my arm,worry,worry
1752321204,@DizzyDezzi You needed to watch the White House Correspondent's Dinner. That would have cheered you up!,neutral,neutral
1752591906,Working out and watching snl,relief,neutral
1753806590,Who's going out tonight? I want to go out  xxx,fun,neutral
1694125146,Now I have to think of things to say    And before that I have to make super chunk chocolate muffins with my kids,happiness,neutral
1957021039,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",worry,worry
1753030896,@richa_august84 hahahaha now that is a spooky wish babes  how about a lifetime supply of shoes with matching bags and constant weight?,neutral,neutral
1958047558,i can't studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom,hate,neutral
1957262657,I honestly feel like I'm not healing or getting any better. This is not good,worry,worry
1962113747,@statisticsio No! Why?,neutral,neutral
1964768777,"@racer108 you shouldnt have to reset more than once  if it doesn't work right the first time, something is up",worry,neutral
1957588423,I also shall be missing Lauren when she goes for a week,worry,neutral
1958106051,@Karina_Escobar some people seem to be getting over it pretty quick  and the guys to me didn't seem to care,sadness,worry
1961130007,@brookstuh am I not good enough,worry,worry
1960206813,I saw the best 1980s back combed poofy bangs this morning on a 30yo... 8 in high. By the time I turned around she was gone... no picture,worry,neutral
1753838643,"@alexandraxaxaxa Alright, I'm coming  get another spoon ;)",neutral,neutral
1964641669,@Itxi_Itx no credits for me unfortunately!,sadness,neutral
1753904674,to my pretty lady @nikkiwoods HAPPY MOTHER'S DAY!!! She's the mother of my future son-in-laws,love,love
1964559999,@Buffalo_Souljaa I couldn't eat 2,neutral,worry
1957038398,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,sadness,worry
1961048861,Now to go home and cry,neutral,sadness
1963041448,@ZRHERO wont work!  and it keeps disconecting my pod.. :@ I officially hate it now.,hate,hate
1694110344,@mariedancerr that songs on tays vid  katy perry.,neutral,happiness
1694531986,@iHolleeee well now i do,neutral,neutral
1695619844,"@parachutesfail Okay, cool. Hope you had better dreams than you had last week.",worry,worry
1964705227,@Livvixo go for the 1 that you want to go to most? my bro had to switch when he did his 1st time  it's www.direct.gov.uk/studentfinance :],neutral,neutral
1753680041,Enjoying my Mommy Day!!!!,fun,love
1752502744,"Tired as hell...long ass weekend so far, chillin wit mi madre 2moro",relief,happiness
1696004757,16 days until I start moving!,happiness,worry
1751033572,@InnyVinny why thank you!  u out tonight?,fun,neutral
1696087665,"@WFBL Thanks, the more, the merrier",love,love
1752442686,Just cleaned mii scrolly ball!,neutral,neutral
1753074016,"Beautiful sunny mornig here in London, time for the morning meditation and some inspired living  http://ff.im/2L36n",worry,happiness
1751920890,@nicksantino i love youuuuu nick santino! thirteen dayssss,love,love
1694474077,@nomand Use Wordpress instead!,neutral,neutral
1694858848,@mombloggersclub Good morning,happiness,happiness
1957340996,"Well I did run over a cat today (I know how sad) I cried and screamed my lungs out!!! I felt HORRIBLE, poor thing",worry,worry
1963526370,"just spent the day with Bridget and a small thing that got wind and farted a lot - oh yeah, her baby! Now slightly broody!",sadness,neutral
1752796908,My whole immediate will be in the same city until some point tomorrow afternoon. This is monumental,worry,worry
1965455680,@fly_meaway I'm sorry hon  I know how it feels though...I'm usually crazy but at a family gathering I'd probably hold back like that also,happiness,worry
1964544037,@butterfly562 Not sure yet... they said we'll see,neutral,neutral
1695654353,"@tova_s  tried to reply back to you, but you need to follow me for me to DM - we have many friends in common is the short answer",neutral,neutral
1694163210,And the sun is back up again.  Could we have more of the kind of weather we had last January and February? I like jackets.,happiness,neutral
1753401803,@JonathanRKnight @jordanknight Happy Mother's Day to your Mum,love,love
1752384506,happy mother's day!,happiness,love
1752414218,with gracie and dustin! sleepover!,neutral,happiness
1694512287,net .. net .. net ..  hmm. bad weather .. weird summer!,surprise,sadness
1960536520,Playing Monopoly Jr. with the lil one.. Cheating isn't as much fun when the other person has absolutely no idea,neutral,neutral
1962241537,"I haven't been replying to people because seriously, I haven't refreshed twitter for a while. @ZindelaYentl Sorry.  @erinmcfly Thanks.",neutral,neutral
1753649469,@Meshel_Laurie sorry to hear about a horrible weekend! It can only get better! Keep smiling.,worry,worry
1753744095,@sandy195850 Bit of sunshine out there and it perks us all up  Especially when you have a mountain of towels to wash and get dry!,neutral,neutral
1958110482,I will get my business coursework done by today. I will. I will.. I won't.,neutral,worry
1964789327,@kterwin I keep trying to talk myself out of Australia by thinking of the jet lag  So far it isn't working... I still want to go!,worry,worry
1963902889,I havent ben on here n a while...  sorry but im bac now so hit me hup,neutral,worry
1694771088,"nvm, lexi's playlist is working its magic",surprise,neutral
1751988162,@Jayeliwood No it's not sad. Should make you proud,relief,neutral
1964746051,"made it into leadership, buttt i'm still not happy! how can i enjoy it without my best friend?",relief,worry
1751986624,i would take the ???s out the sky for you,happiness,neutral
1695163779,"@keza34 cool, your too good to me you know",happiness,neutral
1753565790,"is predicting a heavyweight battle between Lakers and Cleveland on the Finals! Well, hopefully! *crosses his fingers*",worry,happiness
1751107635,Twitter criado.,neutral,neutral
1964327644,I soooo need to catch up on all this NEW @anoopdoggdesai stuff!! Going to the airport to fly home from VEGAS,empty,neutral
1694051346,"@BlakeLewis Oh, I see!  So it's like, morning there, right? Happy breakfast! *thumbs up*",surprise,happiness
1962605844,Another Qi about to start....I'll be missing the next 4,sadness,worry
1962959799,I dont wanna im to spanish today,empty,worry
1751713970,"omg having so much fun watcing house bunny, courto isa a ledge for sending me link  &lt;3",worry,happiness
1960498607,'Wake Up Darling',worry,neutral
1753328663,Beer pong! yee,neutral,happiness
1694929224,"Come on all you lovely fans Number 14 in the Local pop Charts  Let launch an assault on the number 1 slot!!! www,reverbnation.com/suki ...",fun,neutral
1961615445,wzzzzzzzzzup?! its derrek! we r just starting band practice. Jayk Skylar is leaving for california today. lucky.,fun,neutral
1963907402,weblogamo up kardam ama moteasefane baz postesh kootah shod  albate khob chizi nadashtam ke begam,neutral,neutral
1695767696,@kristofer93 hehehe pui foto? Ai ascultat top-ul ? a stat Bogdan la &quot;butoane&quot; este in training,worry,neutral
1695108333,damn... long shift tonight... I really should sleep but I'm not tired. Had a nice talk with Jon after work  Gotta love that boy!,love,neutral
1957318057,@ihatecrayons i'm so fucking nervous!!!,worry,hate
1753198600,Is pretty hammered drunk! Props to me! Two nights in a row!!!,fun,neutral
1963970115,the classes with my students are over  gonna miss them...,neutral,worry
1962364594,*old me's dead and gone*,neutral,sadness
1694568300,@Wolfie_Rankin  I know! a whole different meat pie back then,neutral,neutral
1962365221,i don't know !!,hate,worry
1695544789,@TheDailyBlonde,neutral,neutral
1752897222,@KielysWorld you are such a great person.,love,happiness
1957151415,@anthothemantho Hell yes. I'm too late.,neutral,worry
1961249166,Just look @ this hellacious desk...good grief  http://short.to/cevd,hate,worry
1957312973,Come to bed,neutral,neutral
1695924014,@Vampiricbunny thanks,neutral,happiness
1753532203,@greggrunberg Or a wonderful talking alarm call from I-Phone or Bed side Alarm call! I can just imagine the wake up messages lol,love,neutral
1961214321,i'm under 100 followers again  gosh darn. good mood atm. might have a bbq later. heat waaaave &lt;3,happiness,happiness
1750964239,"Slept in, woke up with an iced coffee, lazed about &amp; went out for a late lunch with the BF. It's been a sweet little laid-back Saturday.",sadness,happiness
1957560891,Curse you breakfast gods....full bowl of cereal + not enough milk =,empty,neutral
1694293070,@charley_bum lol *30 minutes slow* in a sec  i was just having fun tearing down old posters and putting up new ones,happiness,neutral
1752798661,@fiascowines oh oh oh are you offering to send ducks!  I love love love confit duck,love,love
1963386907,I have to give up my beloved Red Sox tickets!! Argh! Meeting was just scheduled in CA...,boredom,neutral
1960260905,i seriously neeed to study,worry,worry
1750963580,@ishakey yea so wassup,neutral,neutral
1694310211,Another water leak in my appartement. The good side is that I get to meet the girls previous &amp; next floors,worry,worry
1694647382,Excited! Double Bio today.   I don't have a straightener and my hair looks horrendous at the moment. Wtf am I supposed to do?,surprise,worry
1957112874,Holy crap! It's raining in LA and I don't have a jacket!  oh no.,worry,worry
1966418028,@alow8111 went to wingstop without me,worry,worry
1694567551,@Katisha_Honi Might be cute to do a little picture book called &quot;The little book of boring&quot;,neutral,worry
1695581099,@EmmaRileySutton Sounds like fun  LoL. At least you still have some hair right?  how was the weekend?,love,neutral
1964664932,I think I may have just lost my job... FML,surprise,worry
1752087824,@JoannePeh jia you !,enthusiasm,neutral
1965315271,Im a loner  haha suckss,fun,sadness
1958108246,"My heads spinning from math, started to dream in formulas. NOT good.",worry,neutral
1961186643,Missin my boo,sadness,sadness
1694126061,"Eh, I've gotta go to bed anyways. Goodnight.",relief,neutral
1753116854,@mylesagnew NICE! Got any that are indexed that you want to unload?  I need a few.,worry,neutral
1960306437,I wish I could go to #BEA this weekend.,neutral,sadness
1965295530,when is it gonna be nice out,worry,happiness
1753836490,@Laryllan not really ;D nice pic . @lenaaileen no but could u imagine those 2? ... i thought so,love,worry
1961481315,@michaelmphysics YES. i am thinking of staying in the office until it's slightly less RIDICULOUSLY HOT,worry,worry
1750965918,"@EhMahLee Were you able to watch it online?!  I hope you were!  And yeah, Belinda Jensen was really good",surprise,happiness
1963644152,Please don't vote for her out of sympathy!  #BGT,sadness,neutral
1966038325,sitting down doing nothing after being stuck in the house for 4days i had all intentions of doing something but it never works out,empty,worry
1962717675,"@agcruc Girl, if you were part of the tour, I would seriously be the first in line for tickets.  Just sayin'.",happiness,neutral
1962724437,@johndpoole Not here in Stamford.,empty,neutral
1965543016,@conorravo ye it is not fare on me  x,neutral,neutral
1964830667,Sad that I won't see Deb for two days.,sadness,worry
1957135976,Not feeling too good,sadness,worry
1753235113,@Tim_in_NH night bud,neutral,neutral
1694145333,@ohmonika babe text me your email address so i can send it over,happiness,neutral
1752159225,can't wait to see those pics @yikes77,worry,worry
1752800124,is bored Riah fell asleep and now I have nothing to do maybe I will go to bed good night,neutral,worry
1752258940,@Bia_Loves_NKOTB yup...as always....wonder when me and V will ever come back to Earth...getting kinda comfy up here,neutral,neutral
1752474748,@ETHI_O_ASH I do too plus more happy mothers day Sweety,love,love
1966397586,@ColdHearted19 woop right am off to &quot;try&quot; to get 2 sleep haha its 2 hot  have a good nightt x,neutral,worry
1965994605,No B2G1 for me.  Trying to save cash for next month's vacation.,neutral,worry
1962054781,Just updated #Tweetie and open in browser is still broken.,neutral,neutral
1960497327,@CrAppleton for sure....I still got 2 hrs till I will be home at the fridge  but then BEER BEER BEER lol,neutral,happiness
1752848958,"@HungryGirl That's too bad, the movie's really pretty good.  We weren't scared away even by the people in costume.",happiness,worry
1753744535,All the money in the world could never make me as happy as being a stay-at-home mom with my son,love,worry
1963372264,Waiting for Raimi's new horror flick Drag Me To Hell. I'm really excited for this! Too bad it's not in #amcmain in KC,neutral,worry
1962196027,Gotta go to the doctor this morning  i feel so sick right now. i can barely talk but i'm still yelling across the house lol,worry,worry
1751607394,@jerennyofficial Hahah JONAS in 10 min!! woop woop! it was fun me and Doug had a 2 cmmt convo. it was magical hahaha,happiness,happiness
1753633810,Finally getting to bed! Night tweeples,worry,relief
1961368576,"Im going to go to bed again, ear (both) infection, I am completely dizzy, yyyyuck! My stomach is hurting too  Peace-out loves",surprise,worry
1694532193,"Done e-mailing. Loads of e-mail came in in the past days. Now need to do some follow ups, this afternoon working on two client projects",neutral,neutral
1964645719,@Flossalini no panasonic charger.sorry,sadness,neutral
1960806856,@nptnmkiii I dunno...I thought I was funny,neutral,worry
1695193480,listening to some bands recommended to me by Sarrah  i really like the friday night boys &lt;3,happiness,neutral
1753631640,need to push diet to last level. Not too good last week lost 1 lb. . Better than a gain,sadness,worry
1752874071,Chick at coles hit on me. Haha Ran into cousin,neutral,happiness
1753253858,"@amedawg18 Haha, that's great. Yeah, Zachary Quinto as Spock is really awesome indeed!!!",happiness,happiness
1961742355,have to put my dog down tomorrow.,sadness,worry
1964766283,"Just got done with my first day of work and is exsausted, sweaty, and chalky.",relief,happiness
1751572794,stocked for tonight,neutral,happiness
1961287443,"@jodiekearns I'm there all weekend, expecting it to be way too hot",enthusiasm,neutral
1964847148,"Wish you were here, babe",sadness,love
1966300214,"Ok, my job at walmart is a cart pusher  i hope i dont get sunburned",worry,worry
1752286793,yard house too packed. Three people deep at bar.... went to pf changs....got right in,neutral,worry
