Model,Prompt,Accuracy,Precision,Recall,F1-Score
llama-3.2-1b@q8,reason,0.5105,0.4886991216087421,0.505781573183339,0.477319504242187
llama-3.2-8b@q4,reason,0.56025,0.5497841653009642,0.5580834282077588,0.5202043240422943
llama-3.2-1b@q8,txt,0.475625,0.5018599129677153,0.48922418386589744,0.471880287783826
llama-3.2-3b@q8,txt,0.548875,0.5479620148407288,0.5516904972041412,0.5093413181734109
llama-3.2-8b@q4,txt,0.571875,0.5538496534759317,0.5630850986438528,0.5214594186632006
emollama-3.1-8b@q4,txt,0.479125,0.5121500806567959,0.4376959687463917,0.40581099538418086
emollama-chat-7b@q4,txt,0.51625,0.5167367376054505,0.5174152476288447,0.5091030055712625
emollama-chat-13b@q3,txt,0.531875,0.5646794569857724,0.5524174150785255,0.5285716697025598
bert-7b@q6,txt,0.58675,0.5855613712977134,0.591857344037391,0.5737596834549086
bloomz-7b@q6,txt,0.3635,0.5244073746041261,0.38142909730587665,0.2982532207504666
vicuna-13b@q3,txt,0.433625,0.4839723419745717,0.4529669211794258,0.4315003585451862
TFIDF,txt,0.498875,0.5081238850817501,0.48761372756546567,0.4916090793883139
word2vec,txt,0.5175,0.5275991566437807,0.5059084227826206,0.510177682608428
word2vec-nn,txt,0.549125,0.5424022697784401,0.5436074147329649,0.5429491458166389
llama-3.2-1b@q8,num,0.401625,0.37604081811375417,0.3483087947524593,0.27138788468338826
llama-3.2-3b@q4,num,0.480375,0.491696771965553,0.49467272945617746,0.47405336737991277
llama-3.2-3b@q8,num,0.5195,0.531535749924189,0.5246212522725446,0.5015472009213914
llama-3.2-8b@q4,num,0.528875,0.51494684397515,0.5223208368374924,0.46643974329280885
