"@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[","fun"
"Layin n bed with a headache  ughhhh...waitin on your call...","boredom"
"Funeral ceremony...gloomy friday...","sad"
"wants to hang out with friends SOON!","happiness"
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.","bored"
"Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends","surprise"
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!","scandalous"
"Hmmm. http://www.djhero.com/ is down","i think i can detect a negative emotion in"
"@charviray Charlene my love. I miss you","love"
"@kelcouch I'm sorry  at least it's Friday?","fun"
"cant fall asleep","boredom"
"Choked on her retainers","relief"
"Ugh! I have to beat this stupid song to get to the next  rude!","anger"
"@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol","anger"
"Got the news","surprise"
"The storm is here and the electricity is gone","relief"
"@annarosekerr agreed","happiness"
"So sleepy again and it's not even that late. I fail once again.","boredom"
"@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know","hate"
"How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend","i'm not convinced at all. your tone"
"@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too","sadness"
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore","plot"
"No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps","neutral"
"I ate Something I don't know what it is... Why do I keep Telling things about food","hunger"
"so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.","tired"
"On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old","hate"
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!","anger"
"Damm servers still down  i need to hit 80 before all the koxpers pass me","i would select: worry"
"Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!","boredom"
"I HATE CANCER. I HATE IT I HATE IT I HATE IT.","hate"
"It is so annoying when she starts typing on her computer in the middle of the night!","boredom"
"@cynthia_123 i cant sleep","boredom"
"I missed the bl***y bus!!!!!!!!","bl**y"
"feels strong contractions but wants to go out.  http://plurk.com/p/wxidk","relief"
"SoCal!  stoked. or maybe not.. tomorrow","i'd say: neutral"
"Screw you @davidbrussee! I only have 3 weeks...","surprise"
"@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?","funny"
"I need skott right now","boredom"
"has work this afternoon","relief"
"@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry","fun"
"mmm much better day... so far! it's still quite early. last day of #uds","neutral"
"@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform","love"
"just picked up her Blackberry from the middle of the street! Both she and it are crushed!","crushed"
"Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...","i detect a sense of anticipation and possibly even"
"@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken","hate"
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now","sadness"
"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also","i detect a sense of **hopefulness**"
"I'm having a problem with my photo here in twitter amf!!!...can't see my face!","boredom"
"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.","surprise"
"wnna take a bath!!!!","relief"
"Chocolate milk is so much better through a straw. I lack said straw","hunger"
"why am i so tired?","boredom"
"@djmicdamn hey yu lil fucker i textd yu","i can sense a strong negative emotion in this"
"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs","sleep"
"@benballer  no way! damn that sucks B!  are you ok?","anger"
"sucks not being able to take days off of work or have the money to take the trip  so sad","sad"
"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to","relief"
"@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope","neutral"
"@lostluna But I got dibs on Sulu...","i detected a tone of **enjoyment"
"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.","sad"
"@itsgabbith at once haha.  poor aby still gets sore!","fun"
"diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.","relief"
"I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;","fun"
"@Pokinatcha  in all honesty...pain   blech.","painful"
"Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...","sadness"
"At home alone with not much to do","boredom"
"@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.","love"
"@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol","fun"
"So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin","i would select: worry"
"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.","happiness"
"I cant give @jertronic any bday nudges.","boredom"
"...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'","weakness"
"Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.","boredom"
"says I miss plurking.  http://plurk.com/p/wxion","i detect a sense of sadness in your response"
"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water","hate"
"I miss Voobys!","relief"
"@Dancing_Monk Neither are ELP!!","elp!"
"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?","fun"
"is sad that shin ae got married...and it wasn't to alex","sad"
"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.","sadness"
"@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?","wednesday"
"there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.","relief"
"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.","sadness"
"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..","fun"
"@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia","love"
"fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw","bored"
"dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code","relief"
"@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you","jealous"
"I can't sleep...I keep thinking about the puppy I played with today","happiness"
".. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh","i detect: anger"
"@lepetitagneau what's going on sweetheart?","neutral"
"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows","i think there may be some frustration with your"
"Last one month due to summer, strawberry is not availble in the Chennai markets!","happiness"
"@willxxmobb work at 6am. Gotta go to bed soon","sadness"
"@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha","i'm glad i was able to correctly identify"
"@sweeetnspicy hiii im on my ipod...i cant fall asleep","fun"
"dont wanna work 11-830 tomorrow  but i get paid","relief"
"feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux","sad"
"PrinceCharming","love"
"@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS","i detected "worry" as the most"
"First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )","hate"
"@mrgenius23 You win ... SIGH Rakeem","i detected a mix of emotions in your response"
"Oh is that time for real?","neutral"
"Darn these allergies! I don't like this time of year because of this! I never used to have this problem either","neutral"
"Oh no one minute too late! Oh well","relief"
"@soviet_star Damn, that sucks","boredom"
"@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS","i can sense your frustration and disappointment! the"
"@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up","surprise"
"ahh! big scary bug flying around my room!!!!!","boredom"
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!","love"
"is up with a nasty cough i cant be sick i have a huge weekend ahead of me","up"
"@justamedicine  That was stone cold   Crazy....  ?","fun"
"i'm so tired","tired"
"shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo","bored"
"@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.","i can sense a hint of frustration and possibly"
"@thecreativeone I second that. I wish it rained more where I am","relief"
"@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!","happiness"
"damn it were is Eric or anyone else when you need your hair to be played with","fun"
"I'm feel deflated. Ugh. No more dog.","deflated"
"Allergies suck ducks nuts.     &lt;=====8@8=====&gt;","neutral"
"Well it almost was a good day... Guess I just retry tomorrow","neutral"
"@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku","boredom"
"@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...","i detected "worry" as the most"
"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.","neutral"
"@britblackbird  youstinkatrespondingtotexts!","worry"
"wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54","happiness"
"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.","relief"
"Is miserable  i feel like im gona cry  sux!","miserable"
"@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.","bleh"
"$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one","surprise"
"claire @breakfastnt love the show, got into the office @ 5am and no radio","love"
"Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.","vacation"
"*sigh* I'm going to bed... I just don't feel right anymore...","sadness"
"What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.","relief"
"@jwillock EpiCentre Wheelock Place - tourists only..","bored"
"Now I am depressed after watching so you think you can dance","i'd say: neutral"
"Just cross 'cause I'm stuck twiddling my thumbs now, ugh","i detected "worry" as the most"
"miss 16'th","relief"
"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.","neutral"
"I cant sleep, but im too sore to move","boredom"
"@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby","love"
"@softtouchme just answered you- never learned how to write in French- just basic stuff-","neutral"
"what is it with chocolates? i just can never say no","that's a sweet sentiment! i think i"
"Achieving a new appreciation on how a xml build script can really be painful and cumbersome","painful"
"@ether_radio i'm too awake now  ill have a nap this afternoon","fun"
"@omfgiselle i cant do anything","happiness"
"still needs another 6 hours of sleep","boredom"
"I'm at work","neutral"
"RIP leonardo. You were a great mini fiddler crab","i think i can detect an emotion in this"
"Morning tweeple,way to early again","boredom"
"Last day working for the Uni today, sad times","sadness"
"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far","i detect a sense of longing or yearning"
"My head hurts so bad I could scream!","hate"
"i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain","pain"
"New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice","relief"
"New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...","i would select "careless" as the"
"where are all ma bestfriends at ? , MIA or wat ?","i'd say "wat" is the most"
"oh men!!!!!!......I really can't see my face........c'mon guys!!!","anger"
"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old","happiness"
"my sole supporter is not my sole supporter","happiness"
"don't you hate it when you finish all your work and there's still 1.25 hours left of work time","i hate"
"@Emilyyy16 urgh stop it guys","irritation"
"is still missing her husband.    I really want him home.","love"
"I miss my puppy","sadness"
"2 days of this month left, and I only have 400MB left on my onpeak downloads.","boredom"
"@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.","i detected a hint of surprise and possibly even"
"@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)","relief"
"Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?","hate"
"@BarbSchaefer yearling in pet home died... very sad for their whole family","sadness"
"fun in the sun hmmm hell no it's cold","fun"
"I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!","anger"
"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.","hate"
"is feeling sad... for some reason..  http://plurk.com/p/wxji3","sadness"
"well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.","anger"
"just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad","i would choose: sadness"
"@juneyee i don't think so.  I WANT DETAILS.","i cannot provide details on a private conversation."
"@jackgraycnn Hi...!!! Who is Mary Poppins???","fun"
"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards","happiness"
"my last tweet didn't send  bad phone","relief"
"@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?","relly1"
"Have a headache  I'm going to bed. Goodnight!","relief"
"@taxidermi  I was watching Parental Control","boredom"
"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay","fun"
"I just saw pics from this past Thanksgiving and am sad because Grandma was in them.","sadness"
"@jertronic it wont let me","i think i can help with that!

the"
"Took a shift tomorrow.    I don't really feel like working right now.","boredom"
"but now i have no money for a phone","boredom"
"Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.","pain"
"@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything","relief"
"@Bern_morley where are you? In Bris? I can't hear any thunder","i'm not bern morkley"
"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!","anger"
"Too bad the Red Devils.. disappointing to say the least","disappointment"
"I had a dream about a pretty pretty beach and there was no beach when I woke up","surprise"
"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).","boredom"
"when da heck will the garage man get here I ask you.. WHEN..","surprise"
"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff","boredom"
"@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.","i detected "melluffsyew""
"why are plane tickets so expensive","neutral"
"(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.","neutral"
"Needs a job BADLY!!!","boredom"
"@AlexanderGWhite daaammmnnnnn I do wish I was there.","anger"
"Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb","happiness"
"@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner","bored"
"@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4","boredom"
"is a bad friend","hate"
"@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!","happiness"
"@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin","relief"
"@aiderushton ill be over in an oir","i detected "happiness""
"@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am","neutral"
"would wish the severe migrains would stop!!! doc's prescriptions arent working","hunger"
"@bobbyedner i missed the game","sadness"
"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby","hunger"
"@tiffalo cuz airlines are super lame.","boredom"
"@lenje - Still a pity it comes with no lamb though","neutral"
"@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.","optimism"
"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat","relief"
"I'm so very tired...and have insomnia.","tired"
"@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down","hunger"
"@yelgiuQnayR airport? and you didnt show up tonight homo!","hate"
"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.","hate"
"@MrRathbone what about me","i think i can make a good guess!"
"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking","you're looking for a twitter-like experience with"
"people in my house do not know how to close doors","boredom"
"Why am I completing facebook quizzes at this time of the morning... especially a friday morning","neutral"
"out with @lizzziemonster &amp; @jamiejamess i am soooo hungry","hungry"
"@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death","mild"
"Had to cancel wow for now","relief"
"wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio","neutral"
"@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.","sadness"
"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.","surprise"
"@__sugar oh no  i am always here ;) &lt;3","fun"
"back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.","fun"
"@ poll : was trying to get it to work in a powerpoint to no avail.","boredom"
"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.","happiness"
"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go","love"
"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!","fun"
"Up late with nothin 2 do.....","boredom"
"i think the vog is making me sicker than i think. feeling slightly achy","neutral"
"@TheTombert i was watching Harpers Island, lol... there was no vodka involved","i detected a sense of amusement and possibly even"
"i am doing homework it sux big time maths is the worst!!!!!!","worry"
"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.","i think the most prominent emotion in that sentence"
"#3wordsaftersex it never started...","boredom"
"sometimes i wish things could go back to the way they were the beginning of last summer","relief"
"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't","surprise"
"@tarng Trudy's off Burnet...the one up north that no one goes to","boredom"
"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.","neutral"
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more","relief"
"i'm sooooooooooooo confused","neutral"
"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well","sadness"
"Work day 7 of 7,","relief"
"Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks","i detect a sense of anticipation and excitement!"
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only","happiness"
