"@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[","surprise"
"Layin n bed with a headache  ughhhh...waitin on your call...","ugly"
"Funeral ceremony...gloomy friday...","sadness"
"wants to hang out with friends SOON!","happiness"
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.","worry"
"Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends","sadness"
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!","angry"
"Hmmm. http://www.djhero.com/ is down","down"
"@charviray Charlene my love. I miss you","love"
"@kelcouch I'm sorry  at least it's Friday?","sorry"
"cant fall asleep","worry"
"Choked on her retainers","surprise"
"Ugh! I have to beat this stupid song to get to the next  rude!","anger"
"@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol","sadness"
"Got the news","happy"
"The storm is here and the electricity is gone","gone"
"@annarosekerr agreed","agreed"
"So sleepy again and it's not even that late. I fail once again.","boredom"
"@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know","impression"
"How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend","lost"
"@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too","worried"
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore","scheming"
"No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps","interest"
"I ate Something I don't know what it is... Why do I keep Telling things about food","worry"
"so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.","tired"
"On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old","worry"
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!","anger"
"Damm servers still down  i need to hit 80 before all the koxpers pass me","anger"
"Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!","hate"
"I HATE CANCER. I HATE IT I HATE IT I HATE IT.","hate"
"It is so annoying when she starts typing on her computer in the middle of the night!","anger"
"@cynthia_123 i cant sleep","sadness"
"I missed the bl***y bus!!!!!!!!","anger"
"feels strong contractions but wants to go out.  http://plurk.com/p/wxidk","worry"
"SoCal!  stoked. or maybe not.. tomorrow","stoked"
"Screw you @davidbrussee! I only have 3 weeks...","anger"
"@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?","singin"
"I need skott right now","anger"
"has work this afternoon","happiness"
"@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry","cry"
"mmm much better day... so far! it's still quite early. last day of #uds","fun"
"@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform","love"
"just picked up her Blackberry from the middle of the street! Both she and it are crushed!","sadness"
"Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...","worry"
"@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken","relief"
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now","enthusiasm"
"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also","hope"
"I'm having a problem with my photo here in twitter amf!!!...can't see my face!","face"
