Model,Prompt,Accuracy,Precision,Recall,F1-Score
llama-3.2-1b@q8,reason,0.21825,0.18520232451491841,0.16831583256743107,0.13330907723550717
llama-3.2-8b@q4,reason,0.2775,0.2212699904105589,0.20966921075420794,0.17809832144481696
llama-3.2-1b@q8,txt,0.15775,0.16688252325412417,0.1826828675238369,0.12232488232249146
llama-3.2-3b@q8,txt,0.224125,0.2240227403023072,0.19026895275254704,0.1526895623416088
llama-3.2-8b@q4,txt,0.23525,0.20319767278954587,0.2130419554513771,0.17386678026972618
emollama-3.1-8b@q4,txt,0.135875,0.18511732873450212,0.15838743244092718,0.08192242733691225
emollama-chat-7b@q4,txt,0.2435,0.19035302962989137,0.16857512223687682,0.16236175228039199
emollama-chat-13b@q3,txt,0.246375,0.19139121297058448,0.1757682798271351,0.12401714764279256
bert-7b@q6,txt,0.26475,0.23441837381685834,0.2285016147591909,0.19005569166477443
bloomz-7b@q6,txt,0.114875,0.2238670372523545,0.1071260113692169,0.07070431616817498
vicuna-13b@q3,txt,0.1925,0.17966721709280112,0.14958408955652328,0.12376341130629664
TFIDF,txt,0.30175,0.21190000398856132,0.1476935334186817,0.14545081369964616
word2vec,txt,0.314,0.19592584137364166,0.14870995552864205,0.14179371638027652
word2vec-nn,txt,0.335125,0.17612135722460603,0.16518115584536971,0.15457709482821066
llama-3.2-1b@q8,num,0.108125,0.08027886762031966,0.08817679308223123,0.0404725959423272
llama-3.2-3b@q4,num,0.183375,0.20383399039002528,0.15289631107421287,0.1091759567536809
llama-3.2-3b@q8,num,0.226,0.2117018966597391,0.1647217001046134,0.13624125442164753
llama-3.2-8b@q4,num,0.24475,0.18853327182897953,0.17308928163440374,0.15103861377529432
