Model,Prompt,Accuracy,Precision,Recall,F1-Score
llama-3.2-1b@q8,reason,0.5159,0.49129005933624725,0.5074251647800022,0.4815376428664356
llama-3.2-8b@q4,reason,0.563075,0.5493882731948071,0.5575967583215086,0.5224910988590062
llama-3.2-1b@q8,txt,0.465725,0.4921123543045794,0.4775694457568352,0.46158704584966653
llama-3.2-3b@q8,txt,0.551325,0.5496974440609614,0.5508113181428903,0.5124090276709988
llama-3.2-8b@q4,txt,0.5749,0.5545988422671092,0.5622348673037098,0.5223300993774976
emollama-3.1-8b@q4,txt,0.48815,0.527435116669153,0.4472408679353614,0.4164897255888276
emollama-chat-7b@q4,txt,0.51335,0.5113946883635102,0.5128290974714053,0.5048895076232945
emollama-chat-13b@q3,txt,0.533125,0.5641606414672493,0.5525014452995074,0.5290690211605342
bert-7b@q6,txt,0.592025,0.5900719727693077,0.5947269755485497,0.5773498946381919
bloomz-7b@q6,txt,0.3619,0.5375329418830491,0.3844371861350094,0.2985449861824307
vicuna-13b@q3,txt,0.435425,0.4832255591077992,0.4554967060745993,0.4328018174087198
TFIDF,txt,0.498875,0.5081238850817501,0.48761372756546567,0.4916090793883139
word2vec,txt,0.5175,0.5275991566437807,0.5059084227826206,0.510177682608428
word2vec-nn,txt,0.549125,0.5424022697784401,0.5436074147329649,0.5429491458166389
llama-3.2-1b@q8,num,0.404375,0.38330653410722865,0.34933564364653596,0.27474388016768664
llama-3.2-3b@q4,num,0.4831,0.49247880977649583,0.4953801836364455,0.4759379091997557
llama-3.2-3b@q8,num,0.52115,0.5295127812339846,0.5242030795823575,0.5027409984809096
llama-3.2-8b@q4,num,0.53085,0.512982713441922,0.520352339438179,0.4690476456307098
