Model,Prompt,Accuracy,Precision,Recall,F1-Score
llama-3.2-1b@q8,reason,0.220825,0.18369217628020826,0.1695864567950035,0.13447291099324948
llama-3.2-8b@q4,reason,0.276875,0.223309075087693,0.21585608251330984,0.18140371750146175
llama-3.2-1b@q8,txt,0.15075,0.16051980286910444,0.17338782578332151,0.11668198471479034
llama-3.2-3b@q8,txt,0.224125,0.21859057429017545,0.19083989300520915,0.15094768793103913
llama-3.2-8b@q4,txt,0.237425,0.20980236611692224,0.22401382749155457,0.17632011801298877
emollama-3.1-8b@q4,txt,0.13375,0.21645299674113133,0.15342936691304782,0.08242797847316506
emollama-chat-7b@q4,txt,0.24425,0.19567058934242684,0.19106718922959348,0.16755140658663592
emollama-chat-13b@q3,txt,0.24895,0.19341506073501794,0.18456268412145904,0.1282563209688915
bert-7b@q6,txt,0.265725,0.2319482208237031,0.23196540446839947,0.18939799405059976
bloomz-7b@q6,txt,0.1168,0.21112309849429686,0.10443672283230444,0.07258037361568515
vicuna-13b@q3,txt,0.19525,0.18003151537483106,0.15278200453077487,0.1257641538307219
TFIDF,txt,0.30175,0.21190000398856132,0.1476935334186817,0.14545081369964616
word2vec,txt,0.314,0.19592584137364166,0.14870995552864205,0.14179371638027652
word2vec-nn,txt,0.335125,0.17612135722460603,0.16518115584536971,0.15457709482821066
llama-3.2-1b@q8,num,0.104975,0.07508971769995057,0.08818133137497045,0.04200374258920925
llama-3.2-3b@q4,num,0.18005,0.1935096439191533,0.1565679985811535,0.10807222351308952
llama-3.2-3b@q8,num,0.224,0.20551361109779606,0.17374621764665765,0.1356772068961652
llama-3.2-8b@q4,num,0.2449,0.1901044615137259,0.17497046344773787,0.15202362935393904
