"@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[","worry"
"Layin n bed with a headache  ughhhh...waitin on your call...","worry"
"Funeral ceremony...gloomy friday...","sadness"
"wants to hang out with friends SOON!","enthusiast"
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.","anger"
"Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends","worry"
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!","surprise"
"Hmmm. http://www.djhero.com/ is down","surprise"
"@charviray Charlene my love. I miss you","love"
"@kelcouch I'm sorry  at least it's Friday?","worry"
"cant fall asleep","worry"
"Choked on her retainers","anger"
"Ugh! I have to beat this stupid song to get to the next  rude!","anger"
"@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol","worry"
"Got the news","neutral"
"The storm is here and the electricity is gone","anger"
"@annarosekerr agreed","neutral"
"So sleepy again and it's not even that late. I fail once again.","boredom"
"@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know","worry"
"How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend","anger"
"@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too","happiness"
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore","enthusiast"
"No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps","neutral"
"I ate Something I don't know what it is... Why do I keep Telling things about food","worry"
"so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.","worry"
"On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old","anger"
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!","worry"
"Damm servers still down  i need to hit 80 before all the koxpers pass me","anger"
"Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!","tires

"
"I HATE CANCER. I HATE IT I HATE IT I HATE IT.","anger"
"It is so annoying when she starts typing on her computer in the middle of the night!","anger"
"@cynthia_123 i cant sleep","worry"
"I missed the bl***y bus!!!!!!!!","surprise"
"feels strong contractions but wants to go out.  http://plurk.com/p/wxidk","happiness"
"SoCal!  stoked. or maybe not.. tomorrow","enthusiast"
"Screw you @davidbrussee! I only have 3 weeks...","anger"
"@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?","worry"
"I need skott right now","boredom"
"has work this afternoon","neutral"
"@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry","worry"
"mmm much better day... so far! it's still quite early. last day of #uds","happiness"
"@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform","happiness"
"just picked up her Blackberry from the middle of the street! Both she and it are crushed!","surprise"
"Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...","worry"
"@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken","anger"
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now","worry"
"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also","happiness"
"I'm having a problem with my photo here in twitter amf!!!...can't see my face!","anger"
"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.","surprise"
"wnna take a bath!!!!","enthusiast"
"Chocolate milk is so much better through a straw. I lack said straw","boredom"
"why am i so tired?","boredom"
"@djmicdamn hey yu lil fucker i textd yu","hate"
"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs","boredom"
"@benballer  no way! damn that sucks B!  are you ok?","worry"
"sucks not being able to take days off of work or have the money to take the trip  so sad","sadness"
"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to","worry"
"@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope","worry"
"@lostluna But I got dibs on Sulu...","happiness"
"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.","happiness"
"@itsgabbith at once haha.  poor aby still gets sore!","happiness"
"diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.","sadness"
